user_id,incoming_calls,outgoing_calls,days_active,incoming_per_day,outgoing_per_day,total_calls,interaction_type,date_start,first_incoming_date,first_outgoing_date,days_to_incoming,days_to_outgoing,interaction_gap,first_contact_group
166377,214.0,5528.0,119,1.7983193277310925,46.45378151260504,5742.0,Company-driven,2019-08-01,2019-08-04,2019-08-05,3,4.0,1.0,0-3 days
166391,26.0,1.0,113,0.23008849557522124,0.008849557522123894,27.0,Client-driven,2019-08-01,2019-08-06,2019-08-07,5,6.0,1.0,4-7 days
166392,243.0,0.0,119,2.042016806722689,0.0,243.0,Client-driven,2019-08-01,2019-08-02,,1,,,0-3 days
166399,28.0,0.0,83,0.3373493975903614,0.0,28.0,Client-driven,2019-08-01,2019-08-12,,11,,,8+ days
166405,8482.0,10700.0,118,71.88135593220339,90.67796610169492,19182.0,Balanced,2019-08-02,2019-08-03,2019-08-06,1,4.0,3.0,0-3 days
166406,291.0,8976.0,118,2.4661016949152543,76.0677966101695,9267.0,Company-driven,2019-08-02,2019-08-02,2019-08-02,0,0.0,0.0,0-3 days
166407,154.0,928.0,118,1.305084745762712,7.864406779661017,1082.0,Company-driven,2019-08-02,2019-08-14,2019-08-14,12,12.0,0.0,8+ days
166428,186.0,0.0,118,1.576271186440678,0.0,186.0,Client-driven,2019-08-02,2019-08-05,,3,,,0-3 days
166481,67.0,0.0,67,1.0,0.0,67.0,Client-driven,2019-08-05,2019-08-08,,3,,,0-3 days
166482,108.0,0.0,115,0.9391304347826087,0.0,108.0,Client-driven,2019-08-05,2019-08-08,,3,,,0-3 days
166485,866.0,7201.0,114,7.5964912280701755,63.166666666666664,8067.0,Company-driven,2019-08-06,2019-08-15,2019-08-13,9,7.0,-2.0,8+ days
166487,83.0,156.0,114,0.7280701754385965,1.368421052631579,239.0,Balanced,2019-08-06,2019-08-08,2019-11-12,2,98.0,96.0,0-3 days
166495,343.0,2914.0,114,3.008771929824561,25.56140350877193,3257.0,Company-driven,2019-08-06,2019-08-08,2019-08-08,2,2.0,0.0,0-3 days
166503,544.0,1051.0,114,4.771929824561403,9.219298245614034,1595.0,Balanced,2019-08-06,2019-08-08,2019-08-08,2,2.0,0.0,0-3 days
166507,1.0,3.0,1,1.0,3.0,4.0,Company-driven,2019-08-06,2019-08-07,2019-08-07,1,1.0,0.0,0-3 days
166511,2102.0,6693.0,114,18.43859649122807,58.71052631578947,8795.0,Company-driven,2019-08-06,2019-08-20,2019-08-20,14,14.0,0.0,8+ days
166520,457.0,6659.0,112,4.080357142857143,59.455357142857146,7116.0,Company-driven,2019-08-07,2019-08-09,2019-08-10,2,3.0,1.0,0-3 days
166533,39.0,2336.0,90,0.43333333333333335,25.955555555555556,2375.0,Company-driven,2019-08-07,2019-08-08,2019-08-08,1,1.0,0.0,0-3 days
166536,535.0,1065.0,113,4.734513274336283,9.424778761061948,1600.0,Balanced,2019-08-07,2019-08-17,2019-08-30,10,23.0,13.0,8+ days
166541,2163.0,251.0,113,19.141592920353983,2.2212389380530975,2414.0,Client-driven,2019-08-07,2019-09-10,2019-09-10,34,34.0,0.0,8+ days
166548,88.0,0.0,109,0.8073394495412844,0.0,88.0,Client-driven,2019-08-08,2019-08-08,,0,,,0-3 days
166554,2.0,0.0,1,2.0,0.0,2.0,Client-driven,2019-08-08,2019-08-09,,1,,,0-3 days
166582,8210.0,151316.0,111,73.96396396396396,1363.2072072072071,159526.0,Company-driven,2019-08-09,2019-08-12,2019-08-12,3,3.0,0.0,0-3 days
166584,2.0,0.0,7,0.2857142857142857,0.0,2.0,Client-driven,2019-08-09,2019-08-16,,7,,,4-7 days
166585,7.0,0.0,107,0.06542056074766354,0.0,7.0,Client-driven,2019-08-09,2019-08-16,,7,,,4-7 days
166604,699.0,95.0,108,6.472222222222222,0.8796296296296297,794.0,Client-driven,2019-08-12,2019-08-21,2019-08-22,9,10.0,1.0,8+ days
166609,38.0,154.0,94,0.40425531914893614,1.6382978723404256,192.0,Company-driven,2019-08-12,2019-08-20,2019-08-13,8,1.0,-7.0,8+ days
166619,7.0,53.0,108,0.06481481481481481,0.49074074074074076,60.0,Company-driven,2019-08-12,2019-08-16,2019-08-28,4,16.0,12.0,4-7 days
166636,211.0,67.0,108,1.9537037037037037,0.6203703703703703,278.0,Client-driven,2019-08-12,2019-08-14,2019-09-10,2,29.0,27.0,0-3 days
166649,44.0,0.0,93,0.4731182795698925,0.0,44.0,Client-driven,2019-08-13,2019-08-13,,0,,,0-3 days
166658,2503.0,11778.0,107,23.39252336448598,110.07476635514018,14281.0,Company-driven,2019-08-13,2019-08-14,2019-08-19,1,6.0,5.0,0-3 days
166660,80.0,125.0,107,0.7476635514018691,1.1682242990654206,205.0,Balanced,2019-08-13,2019-08-23,2019-08-23,10,10.0,0.0,8+ days
166666,16.0,0.0,72,0.2222222222222222,0.0,16.0,Client-driven,2019-08-14,2019-08-16,,2,,,0-3 days
166669,33.0,6.0,94,0.35106382978723405,0.06382978723404255,39.0,Client-driven,2019-08-14,2019-08-14,2019-08-14,0,0.0,0.0,0-3 days
166671,9.0,0.0,61,0.14754098360655737,0.0,9.0,Client-driven,2019-08-14,2019-08-14,,0,,,0-3 days
166677,106.0,279.0,101,1.0495049504950495,2.762376237623762,385.0,Company-driven,2019-08-14,2019-08-19,2019-08-21,5,7.0,2.0,4-7 days
166678,733.0,1305.0,106,6.915094339622642,12.31132075471698,2038.0,Balanced,2019-08-14,2019-08-30,2019-08-31,16,17.0,1.0,8+ days
166680,234.0,5217.0,106,2.207547169811321,49.216981132075475,5451.0,Company-driven,2019-08-14,2019-08-19,2019-08-20,5,6.0,1.0,4-7 days
166688,82.0,134.0,105,0.780952380952381,1.276190476190476,216.0,Balanced,2019-08-15,2019-08-17,2019-08-17,2,2.0,0.0,0-3 days
166691,602.0,1104.0,105,5.733333333333333,10.514285714285714,1706.0,Balanced,2019-08-15,2019-08-16,2019-08-16,1,1.0,0.0,0-3 days
166692,31.0,90.0,96,0.3229166666666667,0.9375,121.0,Company-driven,2019-08-15,2019-08-23,2019-08-28,8,13.0,5.0,8+ days
166697,10.0,0.0,92,0.10869565217391304,0.0,10.0,Client-driven,2019-08-15,2019-08-20,,5,,,4-7 days
166708,1109.0,1660.0,105,10.561904761904762,15.80952380952381,2769.0,Balanced,2019-08-15,2019-08-27,2019-09-03,12,19.0,7.0,8+ days
166711,56.0,121.0,102,0.5490196078431373,1.1862745098039216,177.0,Company-driven,2019-08-15,2019-08-19,2019-08-20,4,5.0,1.0,4-7 days
166713,82.0,12.0,104,0.7884615384615384,0.11538461538461539,94.0,Client-driven,2019-08-15,2019-08-21,2019-09-11,6,27.0,21.0,4-7 days
166717,656.0,503.0,104,6.3076923076923075,4.836538461538462,1159.0,Balanced,2019-08-16,2019-08-26,2019-08-20,10,4.0,-6.0,8+ days
166725,774.0,1343.0,104,7.4423076923076925,12.913461538461538,2117.0,Balanced,2019-08-16,2019-08-16,2019-08-16,0,0.0,0.0,0-3 days
166726,17.0,0.0,90,0.18888888888888888,0.0,17.0,Client-driven,2019-08-16,2019-09-04,,19,,,8+ days
166727,58.0,0.0,71,0.8169014084507042,0.0,58.0,Client-driven,2019-08-16,2019-08-19,,3,,,0-3 days
166732,319.0,89.0,104,3.0673076923076925,0.8557692307692307,408.0,Client-driven,2019-08-16,2019-08-21,2019-09-07,5,22.0,17.0,4-7 days
166774,59.0,57.0,98,0.6020408163265306,0.5816326530612245,116.0,Balanced,2019-08-19,2019-08-20,2019-08-20,1,1.0,0.0,0-3 days
166782,3495.0,7498.0,101,34.603960396039604,74.23762376237623,10993.0,Company-driven,2019-08-19,2019-08-22,2019-08-28,3,9.0,6.0,0-3 days
166800,425.0,263.0,100,4.25,2.63,688.0,Balanced,2019-08-20,2019-08-20,2019-08-20,0,0.0,0.0,0-3 days
166803,123.0,38.0,93,1.3225806451612903,0.40860215053763443,161.0,Client-driven,2019-08-20,2019-08-20,2019-08-20,0,0.0,0.0,0-3 days
166812,42.0,215.0,100,0.42,2.15,257.0,Company-driven,2019-08-20,2019-08-21,2019-08-30,1,10.0,9.0,0-3 days
166813,96.0,50.0,100,0.96,0.5,146.0,Balanced,2019-08-20,2019-09-03,2019-08-30,14,10.0,-4.0,8+ days
166833,342.0,1583.0,99,3.4545454545454546,15.98989898989899,1925.0,Company-driven,2019-08-21,2019-08-26,2019-09-04,5,14.0,9.0,4-7 days
166836,304.0,0.0,99,3.0707070707070705,0.0,304.0,Client-driven,2019-08-21,2019-08-27,,6,,,4-7 days
166837,987.0,0.0,99,9.969696969696969,0.0,987.0,Client-driven,2019-08-21,2019-08-22,,1,,,0-3 days
166839,274.0,2618.0,96,2.8541666666666665,27.270833333333332,2892.0,Company-driven,2019-08-21,2019-08-23,2019-09-09,2,19.0,17.0,0-3 days
166843,108.0,252.0,99,1.0909090909090908,2.5454545454545454,360.0,Company-driven,2019-08-21,2019-08-23,2019-08-26,2,5.0,3.0,0-3 days
166874,18.0,10.0,68,0.2647058823529412,0.14705882352941177,28.0,Balanced,2019-08-22,2019-08-27,2019-08-27,5,5.0,0.0,4-7 days
166879,435.0,0.0,98,4.438775510204081,0.0,435.0,Client-driven,2019-08-22,2019-08-26,,4,,,4-7 days
166884,180.0,372.0,95,1.894736842105263,3.9157894736842107,552.0,Company-driven,2019-08-22,2019-08-26,2019-08-26,4,4.0,0.0,4-7 days
166896,684.0,0.0,96,7.125,0.0,684.0,Client-driven,2019-08-23,2019-08-26,,3,,,0-3 days
