user_id,date_start,first_incoming_date,first_outgoing_date,days_to_incoming,days_to_outgoing,interaction_gap,first_contact_group
166377,2019-08-01,2019-08-04,2019-08-05,3,4.0,1.0,0-3 days
166391,2019-08-01,2019-08-06,2019-08-07,5,6.0,1.0,4-7 days
166392,2019-08-01,2019-08-02,,1,,,0-3 days
166399,2019-08-01,2019-08-12,,11,,,8+ days
166405,2019-08-02,2019-08-03,2019-08-06,1,4.0,3.0,0-3 days
166406,2019-08-02,2019-08-02,2019-08-02,0,0.0,0.0,0-3 days
166407,2019-08-02,2019-08-14,2019-08-14,12,12.0,0.0,8+ days
166428,2019-08-02,2019-08-05,,3,,,0-3 days
166481,2019-08-05,2019-08-08,,3,,,0-3 days
166482,2019-08-05,2019-08-08,,3,,,0-3 days
166485,2019-08-06,2019-08-15,2019-08-13,9,7.0,-2.0,8+ days
166487,2019-08-06,2019-08-08,2019-11-12,2,98.0,96.0,0-3 days
166495,2019-08-06,2019-08-08,2019-08-08,2,2.0,0.0,0-3 days
166503,2019-08-06,2019-08-08,2019-08-08,2,2.0,0.0,0-3 days
166507,2019-08-06,2019-08-07,2019-08-07,1,1.0,0.0,0-3 days
166511,2019-08-06,2019-08-20,2019-08-20,14,14.0,0.0,8+ days
166520,2019-08-07,2019-08-09,2019-08-10,2,3.0,1.0,0-3 days
166533,2019-08-07,2019-08-08,2019-08-08,1,1.0,0.0,0-3 days
166536,2019-08-07,2019-08-17,2019-08-30,10,23.0,13.0,8+ days
166541,2019-08-07,2019-09-10,2019-09-10,34,34.0,0.0,8+ days
166548,2019-08-08,2019-08-08,,0,,,0-3 days
166554,2019-08-08,2019-08-09,,1,,,0-3 days
166582,2019-08-09,2019-08-12,2019-08-12,3,3.0,0.0,0-3 days
166584,2019-08-09,2019-08-16,,7,,,4-7 days
166585,2019-08-09,2019-08-16,,7,,,4-7 days
166604,2019-08-12,2019-08-21,2019-08-22,9,10.0,1.0,8+ days
166609,2019-08-12,2019-08-20,2019-08-13,8,1.0,-7.0,8+ days
166619,2019-08-12,2019-08-16,2019-08-28,4,16.0,12.0,4-7 days
